# Prioritization file for occultation-standard
# Version: 1.1.0
# Updated by: Ben Hord
# Updated on: 2026-09-17 19:45:57
#
# Column 1: Rank
# Column 2: Target Name
# Column 3: Priority
# Column 4: Number of Hours Requested
# Column 5: Number of Hours Observed
# Column 6: Number of Hours Remaining
rank,target,priority,hours_req,hours_obs,hours_rem
417,G3125769621987723392,0.853675,600.0,0.0,600.0
418,G3368834603091499520,0.853564,600.0,0.0,600.0
419,G3085488360669414528,0.853453,600.0,0.0,600.0
420,G412324595658935296,0.853342,600.0,0.0,600.0
421,G250136288279144704,0.853231,600.0,0.0,600.0
422,G3431839608658235136,0.85312,600.0,0.0,600.0
423,G963542893150179840,0.853009,600.0,0.0,600.0
424,G661072643124254592,0.852898,600.0,0.0,600.0
425,G3390885033905554176,0.852787,600.0,0.0,600.0
426,G3365294794122700800,0.852675,600.0,0.0,600.0
427,G182629916466102784,0.852564,600.0,0.0,600.0
428,G3426260343062998016,0.852453,600.0,0.0,600.0
429,G3360846028341723904,0.852342,600.0,0.0,600.0
430,G230000141564434432,0.852231,600.0,0.0,600.0
431,G2162709689343847424,0.85212,600.0,0.0,600.0
432,G3340114122421040128,0.852009,600.0,0.0,600.0
433,G3371400137376012544,0.851898,600.0,0.0,600.0
434,G3426710112037010560,0.851787,600.0,0.0,600.0
435,G3329864062711964672,0.851676,600.0,0.0,600.0
436,G2003021980631268224,0.851565,600.0,0.0,600.0
437,G375547615331646080,0.851453,600.0,0.0,600.0
438,G447095826254298112,0.851342,600.0,0.0,600.0
439,G3131332940370815744,0.851231,600.0,0.0,600.0
440,G248090990491799680,0.85112,600.0,0.0,600.0
441,G3134475314538749184,0.851009,600.0,0.0,600.0
442,G3127369961164589184,0.850898,600.0,0.0,600.0
443,G3158504797566226944,0.850787,600.0,0.0,600.0
444,G183631502837241088,0.850676,600.0,0.0,600.0
445,G336051989431250432,0.850565,600.0,0.0,600.0
446,G3396880529075737984,0.850454,600.0,0.0,600.0
447,G3329816371395235712,0.850343,600.0,0.0,600.0
448,G201531414700407936,0.850231,600.0,0.0,600.0
449,G3112924023342943616,0.85012,600.0,0.0,600.0
450,G505081733045397120,0.850009,600.0,0.0,600.0
451,G2079084094787956736,0.849898,600.0,0.0,600.0
452,G3403310129478240384,0.849787,600.0,0.0,600.0
453,G3398874703869380736,0.849676,600.0,0.0,600.0
454,G348499835447992064,0.849565,600.0,0.0,600.0
455,G124329274471999232,0.849454,600.0,0.0,600.0
456,G3383645608832139648,0.849343,600.0,0.0,600.0
457,G3373077446664160640,0.849232,600.0,0.0,600.0
458,G3137798760232555648,0.849121,600.0,0.0,600.0
459,G1943927594318111488,0.849009,600.0,0.0,600.0
460,G891667783681590656,0.848898,600.0,0.0,600.0
461,G3351534268664316928,0.848787,600.0,0.0,600.0
462,G931831504631262336,0.848676,600.0,0.0,600.0
463,G3354073178452718720,0.848565,600.0,0.0,600.0
464,G251609324623302400,0.848454,600.0,0.0,600.0
465,G3435959856683946112,0.848343,600.0,0.0,600.0
466,G3369363914860764032,0.848232,600.0,0.0,600.0
467,G204147904480805376,0.848121,600.0,0.0,600.0
468,G3148121353348674688,0.84801,600.0,0.0,600.0
469,G182423861115896960,0.847899,600.0,0.0,600.0
470,G257920070391100032,0.847787,600.0,0.0,600.0
471,G199156744462085632,0.847676,600.0,0.0,600.0
472,G3366967975942219392,0.847565,600.0,0.0,600.0
473,G2107451189846182400,0.847454,600.0,0.0,600.0
474,G181514564995816064,0.847343,600.0,0.0,600.0
475,G3110463247598244096,0.847232,600.0,0.0,600.0
476,G2068237829195888000,0.847121,600.0,0.0,600.0
477,G182077613731225728,0.84701,600.0,0.0,600.0
478,G418099505613329664,0.846899,600.0,0.0,600.0
479,G195878206945470080,0.846788,600.0,0.0,600.0
480,G3380804505143796352,0.846677,600.0,0.0,600.0
